School Name,School Type,School Year,Reported,Within District Boundary,Grade Level,Number Enrolled,COMPLETE,CONDITIONAL,OUT-OF-COMPLIANCE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Complete DT,Complete Pertussis,Complete MMR,Complete Polio,Complete Hep B,Complete Varicella,Location 1
MEDINA ACADEMY,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,P-7,9,11.1,88.9,0,0,0,0,0,0,11.1,100,100,100,100,100,"16600 NE 80TH ST
REDMOND
(47.675237, -122.117582)"
PINE TREE ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,62,80.6,0,17.7,1.6,0,1.6,0,0,82.3,82.3,98.4,96.8,98.4,96.8,"27825 118TH AVE SE
KENT
(47.351979, -122.185506)"
HOLY INNOCENTS SCHOOL OF NW,PRIVATE SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,K-12,1,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"2530 S 298TH ST
FEDERAL WAY
(47.336092, -122.300227)"
KINGS SCHOOLS,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,P-12,74,17.6,73,4.1,5.4,0,4.1,1.4,0,21.6,21.6,89.2,85.1,89.2,85.1,"19303 FREMONT AVE N
SEATTLE
(47.7684545, -122.3528379)"
TECHNOLOGY ACCESS FOUNDATION ACADEMY,PUBLIC SCHOOL,2016-17,Y,FEDERAL WAY SCHOOL DISTRICT,6-12,50,84,0,12,4,2,2,0,0,98,98,96,98,98,96,"26630 40TH AVE S
KENT
(47.3622183, -122.2816115)"
SEATTLE CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K-12,30,93.3,0,0,6.7,0,6.7,0,0,100,100,100,100,96.7,96.7,"18301 MILITARY RD S
SEATTLE
(47.4382792, -122.2739361)"
WHOLE EARTH MONTESSORI SCHOOL,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,P-12,2,0,0,0,100,0,100,0,0,50,50,0,0,0,50,"2930 228TH ST SE
BOTHELL
(47.7904575, -122.1935417)"
LAKE WASHINGTON GIRLS MIDDLE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,36,86.1,8.3,5.6,0,0,0,0,0,86.1,100,100,100,100,97.2,"810 18TH AVE
SEATTLE
(47.3849312, -122.0480429)"
WASHINGTON MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,355,73,0,22,5.1,3.1,3.1,0,0,78,78,98.3,98,94.9,95.5,"2101 S JACKSON ST
SEATTLE
(47.5982164, -122.3041373)"
SEATTLE HEBREW ACADEMY,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,9,88.9,0,0,11.1,11.1,0,0,0,100,100,100,100,100,88.9,"1617 INTERLAKEN DR E
SEATTLE
(47.6342969, -122.308325)"
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,K-6,0,,,,,,,,,,,,,,,"520 NE RAVENNA BLVD
SEATTLE
(47.677346, -122.322191)"
ST. MONICA SCHOOL,PRIVATE SCHOOL,2016-17,Y,MERCER ISLAND SCHOOL DISTRICT,P-8,13,84.6,0,0,15.4,0,15.4,0,0,84.6,84.6,84.6,84.6,84.6,84.6,"4320 87TH AVE SE
MERCER ISLAND
(47.5693913, -122.2224449)"
SOOS CREEK ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,46,89.1,2.2,4.3,4.3,0,2.2,2.2,0,89.1,93.5,97.8,95.7,95.7,95.7,"12651 SE 218TH PLACE
KENT
(47.406208, -122.1714913)"
FAIRWOOD ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,52,98.1,0,0,1.9,0,1.9,0,0,98.1,98.1,100,100,100,100,"16600 148TH AVE SE
RENTON
(47.4533714, -122.1414635)"
MT BAKER MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,AUBURN SCHOOL DISTRICT,6-8,329,70.8,0.6,27.7,0.9,0,0.9,0.3,0,72.9,73.6,96.7,95.7,96,95.1,"620 37TH ST SE
AUBURN
(47.2756285, -122.2200045)"
CEDAR RIVER MONTESSORI SCHOOL,PRIVATE SCHOOL,2016-17,Y,TAHOMA SCHOOL DISTRICT,P-9,5,60,20,0,20,20,0,0,0,100,100,80,100,100,80,"15828 SE JONES RD
RENTON
(47.4671238, -122.128274)"
MMSC DAY SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-12,2,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"8511 15TH AVENUE NE
SEATTLE
(47.6907236, -122.3130287)"
ST. CATHERINE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,27,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"8524 8TH AVE NE
SEATTLE
(47.6911915, -122.3201266)"
RENTON CHRISTIAN SCHOOL,PRIVATE SCHOOL,2016-17,Y,RENTON SCHOOL DISTRICT,P-8,46,69.6,21.7,0,8.7,0,8.7,0,0,73.9,78.3,93.5,95.7,97.8,93.5,"15717 152ND AVE SE
RENTON
(47.4622999, -122.137986)"
HOPE LUTHERAN SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,P-8,0,,,,,,,,,,,,,,,"4456 42ND AVE SW
SEATTLE
(47.563366, -122.385062)"
JEWISH DAY SCHOOL,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,8,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"15749 NE 4TH ST
BELLEVUE
(47.612981, -122.1283035)"
PARKSIDE ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,HIGHLINE SCHOOL DISTRICT,K -6,86,83.7,0,15.1,1.2,0,1.2,0,0,86,86,97.7,97.7,97.7,97.7,"2104 S 247TH ST
DES MOINES
(47.3810263, -122.3059722)"
MAKKAH ISLAMIC SCHOOL,PRIVATE SCHOOL,2016-17,N,SEATTLE PUBLIC SCHOOLS,P-8,0,,,,,,,,,,,,,,,"3613 S JUNEAU ST
SEATTLE
(47.5495424, -122.2866149)"
CRESTWOOD ELEMENTARY SCHOOL,PUBLIC SCHOOL,2016-17,Y,KENT SCHOOL DISTRICT,K -6,60,91.7,0,6.7,1.7,0,1.7,0,0,91.7,93.3,96.7,96.7,96.7,96.7,"25225 180TH AVE SE
COVINGTON
(47.3758012, -122.1045733)"
EATON ARROWSMITH ACADEMY,PRIVATE SCHOOL,2016-17,Y,LAKE WASHINGTON SCHOOL DISTRICT,K-8,5,100,0,0,0,0,0,0,0,100,100,100,100,100,100,"17946 65TH ST
REDMOND
(47.664352, -122.101288)"
TYEE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,6-8,332,83.7,0,7.8,8.4,3.9,4.2,0.3,0,89.2,89.2,97,97.9,96.4,94,"11650 SE 60TH
BELLEVUE
(47.5501672, -122.182895)"
BRIGHT WATER SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,P-8,15,13.3,0,0,86.7,0,86.7,0,0,13.3,73.3,73.3,66.7,80,66.7,"1501 TENTH AVE E SUITE 100
SEATTLE
(47.6325559, -122.3207142)"
THE GEMINI SCHOOL,PRIVATE SCHOOL,2016-17,N,BELLEVUE SCHOOL DISTRICT,K-12,0,,,,,,,,,,,,,,,"2227 112TH AVE NE
BELLEVUE
(47.630455, -122.192491)"
MCCLURE MIDDLE SCHOOL,PUBLIC SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-8,203,82.3,0,11.3,6.4,4.4,2.5,0,0,88.2,88.2,94.6,95.6,94.1,92.6,"1915 1 AV W
SEATTLE
(47.6367366, -122.3589595)"
HAMLIN ROBINSON SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,1-8,41,48.8,46.3,4.9,0,0,0,0,0,58.5,100,100,100,90.2,100,"1700 E UNION ST.
SEATTLE
(47.6131379, -122.3094749)"
ST. LUKE SCHOOL,PRIVATE SCHOOL,2016-17,Y,SHORELINE SCHOOL DISTRICT,P-8,33,69.7,27.3,0,3,0,3,0,0,72.7,72.7,100,100,100,100,"17533 SAINT LUKE PL N
SHORELINE
(47.7561018, -122.3533168)"
WOODMOOR ELEMENTARY,PUBLIC SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,K -6,121,80.2,0,10.7,9.1,2.5,6.6,0.8,0.8,84.3,84.3,93.4,94.2,96.7,92.6,"12225 NE 160
BOTHELL
(47.7412881, -122.1763186)"
DARTMOOR SCHOOL--BELLEVUE,PRIVATE SCHOOL,2016-17,Y,NORTHSHORE SCHOOL DISTRICT,1-12,0,,,,,,,,,,,,,,,"13401 BEL RED ROAD
BELLEVUE
(47.6225763, -122.1605619)"
EMERALD HEIGHTS ACADEMY,PRIVATE SCHOOL,2016-17,Y,BELLEVUE SCHOOL DISTRICT,P-8,5,60,20,0,20,0,20,0,0,60,60,80,80,80,80,"3850 - 156TH AVE SE
BELLEVUE
(47.5757526, -122.1319016)"
PRAISE CHRISTIAN ACADEMY,PRIVATE SCHOOL,2016-17,N,HIGHLINE SCHOOL DISTRICT,K-12,0,,,,,,,,,,,,,,,"1022 SW 151 ST
BURIEN
(47.4676603, -122.3483147)"
NORTHWEST SCHOOL,PRIVATE SCHOOL,2016-17,Y,SEATTLE PUBLIC SCHOOLS,6-12,49,98,2,0,0,0,0,0,0,98,98,100,100,100,100,"1415 SUMMIT AVE
SEATTLE
(47.6134199, -122.3256699)"
